SKU_ID,Product_Name,Type,Conductor_Material,Conductor_Area_mm2,Voltage_Rating_kV,Insulation,Armoured,No_of_Cores,Temperature_Range,Standard,Unit_Weight_kg_per_km,Unit_Price_per_km,Lead_Time_Days,Description
CBL001,3C x 95 sqmm HT XLPE Cable,HT Cable,Aluminium,95,11,XLPE,Yes,3,-10 to 90,IS 7098,1400,750000,20,"3 core 95 sq mm aluminium HT cable with XLPE insulation armoured 11kV rated IS 7098 compliant"
CBL002,4C x 16 sqmm LT PVC Cable,LT Cable,Copper,16,1.1,PVC,No,4,-10 to 70,IS 694,250,120000,10,"4 core 16 sq mm copper LT cable PVC insulated unarmoured 1.1kV voltage rating IS 694"
CBL003,1C x 300 sqmm HT XLPE Cable,HT Cable,Aluminium,300,33,XLPE,Yes,1,-10 to 90,IS 7098,1800,1400000,25,"Single core 300 sq mm aluminium HT power cable XLPE insulation armoured 33kV IS 7098"
CBL004,3C x 10 sqmm Control Cable,Control Cable,Copper,10,1.1,PVC,No,3,-10 to 70,IS 1554,120,45000,7,"3 core 10 sq mm copper control cable PVC insulated unarmoured 1.1kV IS 1554 compliant"
CBL005,3C x 2.5 sqmm LT Armoured Cable,LT Cable,Copper,2.5,1.1,XLPE,Yes,3,-10 to 70,IS 7098,85,28000,5,"3 core 2.5 sq mm copper armoured cable XLPE insulation 1.1kV rated IS 7098 standard"
CBL006,4C x 25 sqmm LT Power Cable,LT Cable,Aluminium,25,1.1,PVC,Yes,4,-10 to 70,IS 1554,320,95000,12,"4 core 25 sq mm aluminium LT power cable PVC insulated armoured 1.1kV IS 1554"
CBL007,3C x 50 sqmm HT XLPE Cable,HT Cable,Copper,50,11,XLPE,Yes,3,-10 to 90,IS 7098,890,520000,18,"3 core 50 sq mm copper HT cable XLPE insulation steel wire armoured 11kV IS 7098"
CBL008,1C x 500 sqmm HT EHV Cable,EHV Cable,Aluminium,500,66,XLPE,Yes,1,-10 to 90,IS 7098,2400,2800000,35,"Single core 500 sq mm aluminium EHV cable XLPE insulated 66kV rated for power transmission"
CBL009,2C x 4 sqmm Instrumentation Cable,Instrumentation Cable,Copper,4,0.6,PVC,No,2,-10 to 70,IS 1554,45,18000,5,"2 core 4 sq mm copper instrumentation cable PVC insulated 600V for signal transmission"
CBL010,7C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,7,-10 to 70,IS 1554,180,62000,8,"7 core 2.5 sq mm copper control cable PVC insulated armoured 1.1kV multicore"
CBL011,3C x 120 sqmm HT XLPE Cable,HT Cable,Aluminium,120,11,XLPE,Yes,3,-10 to 90,IS 7098,1650,890000,22,"3 core 120 sq mm aluminium HT cable XLPE insulated armoured 11kV IS 7098 compliant"
CBL012,4C x 6 sqmm LT Flexible Cable,LT Cable,Copper,6,1.1,PVC,No,4,-10 to 70,IS 694,98,35000,6,"4 core 6 sq mm copper flexible cable PVC insulated unarmoured 1.1kV for indoor wiring"
CBL013,3C x 185 sqmm HT XLPE Cable,HT Cable,Aluminium,185,22,XLPE,Yes,3,-10 to 90,IS 7098,2100,1250000,28,"3 core 185 sq mm aluminium HT cable XLPE insulation armoured 22kV IS 7098 standard"
CBL014,1C x 630 sqmm EHV XLPE Cable,EHV Cable,Aluminium,630,110,XLPE,Yes,1,-10 to 90,IEC 60840,3200,4500000,45,"Single core 630 sq mm aluminium EHV transmission cable 110kV XLPE insulated IEC 60840"
CBL015,4C x 35 sqmm LT Power Cable,LT Cable,Copper,35,1.1,XLPE,Yes,4,-10 to 70,IS 7098,480,145000,14,"4 core 35 sq mm copper LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL016,3C x 70 sqmm HT XLPE Cable,HT Cable,Copper,70,11,XLPE,Yes,3,-10 to 90,IS 7098,1150,680000,20,"3 core 70 sq mm copper HT cable XLPE insulation armoured 11kV IS 7098 compliant"
CBL017,12C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,12,-10 to 70,IS 1554,220,78000,10,"12 core 1.5 sq mm copper multicore control cable PVC insulated armoured 1.1kV IS 1554"
CBL018,3C x 240 sqmm HT XLPE Cable,HT Cable,Aluminium,240,33,XLPE,Yes,3,-10 to 90,IS 7098,2450,1650000,30,"3 core 240 sq mm aluminium HT cable XLPE insulated armoured 33kV IS 7098 power distribution"
CBL019,4C x 95 sqmm LT Power Cable,LT Cable,Aluminium,95,1.1,XLPE,Yes,4,-10 to 70,IS 7098,1280,385000,16,"4 core 95 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL020,2C x 10 sqmm Instrumentation Cable,Instrumentation Cable,Copper,10,0.6,PVC,Yes,2,-10 to 70,IS 1554,125,42000,7,"2 core 10 sq mm copper instrumentation cable PVC insulated shielded 600V industrial"
CBL021,3C x 400 sqmm HT XLPE Cable,HT Cable,Aluminium,400,33,XLPE,Yes,3,-10 to 90,IS 7098,3100,2200000,35,"3 core 400 sq mm aluminium HT cable XLPE insulation armoured 33kV heavy duty IS 7098"
CBL022,4C x 50 sqmm LT Power Cable,LT Cable,Copper,50,1.1,XLPE,Yes,4,-10 to 70,IS 7098,720,225000,15,"4 core 50 sq mm copper LT power cable XLPE insulated armoured 1.1kV IS 7098 compliant"
CBL023,1C x 185 sqmm HT XLPE Cable,HT Cable,Aluminium,185,22,XLPE,Yes,1,-10 to 90,IS 7098,1100,620000,20,"Single core 185 sq mm aluminium HT cable XLPE insulated 22kV armoured IS 7098"
CBL024,6C x 4 sqmm Control Cable,Control Cable,Copper,4,1.1,PVC,Yes,6,-10 to 70,IS 1554,165,58000,8,"6 core 4 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554 compliant"
CBL025,3C x 25 sqmm LT Armoured Cable,LT Cable,Copper,25,1.1,XLPE,Yes,3,-10 to 70,IS 7098,380,115000,12,"3 core 25 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 standard"
CBL026,4C x 70 sqmm LT Power Cable,LT Cable,Aluminium,70,1.1,XLPE,Yes,4,-10 to 70,IS 7098,980,295000,14,"4 core 70 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL027,3C x 150 sqmm HT XLPE Cable,HT Cable,Copper,150,11,XLPE,Yes,3,-10 to 90,IS 7098,1980,1150000,24,"3 core 150 sq mm copper HT cable XLPE insulation armoured 11kV IS 7098 premium"
CBL028,1C x 95 sqmm HT XLPE Cable,HT Cable,Aluminium,95,11,XLPE,Yes,1,-10 to 90,IS 7098,720,285000,15,"Single core 95 sq mm aluminium HT cable XLPE insulated 11kV armoured IS 7098 standard"
CBL029,19C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,19,-10 to 70,IS 1554,350,125000,12,"19 core 2.5 sq mm copper multicore control cable PVC insulated armoured 1.1kV IS 1554"
CBL030,4C x 120 sqmm LT Power Cable,LT Cable,Aluminium,120,1.1,XLPE,Yes,4,-10 to 70,IS 7098,1450,465000,18,"4 core 120 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL031,3C x 35 sqmm LT Armoured Cable,LT Cable,Copper,35,1.1,XLPE,Yes,3,-10 to 70,IS 7098,520,165000,12,"3 core 35 sq mm copper LT cable XLPE insulated steel wire armoured 1.1kV IS 7098"
CBL032,1C x 240 sqmm HT XLPE Cable,HT Cable,Aluminium,240,22,XLPE,Yes,1,-10 to 90,IS 7098,1350,750000,22,"Single core 240 sq mm aluminium HT cable XLPE insulated 22kV armoured IS 7098"
CBL033,4C x 185 sqmm LT Power Cable,LT Cable,Aluminium,185,1.1,XLPE,Yes,4,-10 to 70,IS 7098,2100,680000,20,"4 core 185 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL034,3C x 16 sqmm LT Armoured Cable,LT Cable,Copper,16,1.1,XLPE,Yes,3,-10 to 70,IS 7098,285,85000,10,"3 core 16 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 compliant"
CBL035,10C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,10,-10 to 70,IS 1554,195,68000,9,"10 core 1.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL036,4C x 240 sqmm LT Power Cable,LT Cable,Aluminium,240,1.1,XLPE,Yes,4,-10 to 70,IS 7098,2800,920000,25,"4 core 240 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL037,3C x 6 sqmm LT Flexible Cable,LT Cable,Copper,6,1.1,PVC,No,3,-10 to 70,IS 694,78,28000,5,"3 core 6 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694 indoor"
CBL038,1C x 120 sqmm HT XLPE Cable,HT Cable,Aluminium,120,11,XLPE,Yes,1,-10 to 90,IS 7098,780,365000,16,"Single core 120 sq mm aluminium HT cable XLPE insulated 11kV armoured IS 7098"
CBL039,4C x 4 sqmm LT Flexible Cable,LT Cable,Copper,4,1.1,PVC,No,4,-10 to 70,IS 694,65,22000,5,"4 core 4 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694"
CBL040,3C x 500 sqmm HT XLPE Cable,HT Cable,Aluminium,500,33,XLPE,Yes,3,-10 to 90,IS 7098,4200,3200000,40,"3 core 500 sq mm aluminium HT cable XLPE insulated armoured 33kV IS 7098 heavy duty"
CBL041,4C x 150 sqmm LT Power Cable,LT Cable,Aluminium,150,1.1,XLPE,Yes,4,-10 to 70,IS 7098,1750,545000,18,"4 core 150 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL042,3C x 4 sqmm LT Armoured Cable,LT Cable,Copper,4,1.1,XLPE,Yes,3,-10 to 70,IS 7098,95,32000,6,"3 core 4 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 standard"
CBL043,1C x 400 sqmm HT XLPE Cable,HT Cable,Aluminium,400,33,XLPE,Yes,1,-10 to 90,IS 7098,1950,1150000,28,"Single core 400 sq mm aluminium HT cable XLPE insulated 33kV armoured IS 7098"
CBL044,5C x 6 sqmm Control Cable,Control Cable,Copper,6,1.1,PVC,Yes,5,-10 to 70,IS 1554,145,52000,8,"5 core 6 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL045,4C x 10 sqmm LT Power Cable,LT Cable,Copper,10,1.1,XLPE,Yes,4,-10 to 70,IS 7098,175,55000,8,"4 core 10 sq mm copper LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL046,3C x 300 sqmm HT XLPE Cable,HT Cable,Aluminium,300,22,XLPE,Yes,3,-10 to 90,IS 7098,2650,1800000,32,"3 core 300 sq mm aluminium HT cable XLPE insulated armoured 22kV IS 7098 distribution"
CBL047,8C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,8,-10 to 70,IS 1554,200,72000,9,"8 core 2.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554 multicore"
CBL048,4C x 300 sqmm LT Power Cable,LT Cable,Aluminium,300,1.1,XLPE,Yes,4,-10 to 70,IS 7098,3400,1100000,28,"4 core 300 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL049,3C x 10 sqmm LT Armoured Cable,LT Cable,Copper,10,1.1,XLPE,Yes,3,-10 to 70,IS 7098,165,48000,7,"3 core 10 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 standard"
