sku_id,product_name,voltage,conductor_material,insulation_material,cross_section_area,temperature_rating,no_of_cores,armoured,application,standard,unit_price
CU-1100-XLPE-16-3C,1100V 3C 16sqmm Cu XLPE Cable,1100,Copper,XLPE,16,90,3,Yes,Industrial,IS 7098,85000
CU-1100-XLPE-25-3C,1100V 3C 25sqmm Cu XLPE Cable,1100,Copper,XLPE,25,90,3,Yes,Industrial,IS 7098,115000
CU-1100-XLPE-35-3C,1100V 3C 35sqmm Cu XLPE Cable,1100,Copper,XLPE,35,90,3,Yes,Industrial,IS 7098,155000
CU-1100-XLPE-50-3C,1100V 3C 50sqmm Cu XLPE Cable,1100,Copper,XLPE,50,90,3,Yes,Industrial,IS 7098,195000
CU-1100-XLPE-70-3C,1100V 3C 70sqmm Cu XLPE Cable,1100,Copper,XLPE,70,90,3,Yes,Industrial,IS 7098,285000
CU-1100-XLPE-95-3C,1100V 3C 95sqmm Cu XLPE Cable,1100,Copper,XLPE,95,90,3,Yes,Industrial,IS 7098,395000
CU-1100-XLPE-120-3C,1100V 3C 120sqmm Cu XLPE Cable,1100,Copper,XLPE,120,90,3,Yes,Industrial,IS 7098,485000
CU-1100-XLPE-150-3C,1100V 3C 150sqmm Cu XLPE Cable,1100,Copper,XLPE,150,90,3,Yes,Industrial,IS 7098,595000
CU-1100-XLPE-185-3C,1100V 3C 185sqmm Cu XLPE Cable,1100,Copper,XLPE,185,90,3,Yes,Industrial,IS 7098,725000
CU-1100-XLPE-240-3C,1100V 3C 240sqmm Cu XLPE Cable,1100,Copper,XLPE,240,90,3,Yes,Industrial,IS 7098,950000
CU-1100-XLPE-300-3C,1100V 3C 300sqmm Cu XLPE Cable,1100,Copper,XLPE,300,90,3,Yes,Industrial,IS 7098,1180000
CU-1100-PVC-16-4C,1100V 4C 16sqmm Cu PVC Cable,1100,Copper,PVC,16,70,4,No,Building,IS 694,75000
CU-1100-PVC-25-4C,1100V 4C 25sqmm Cu PVC Cable,1100,Copper,PVC,25,70,4,No,Building,IS 694,105000
CU-1100-PVC-35-4C,1100V 4C 35sqmm Cu PVC Cable,1100,Copper,PVC,35,70,4,Yes,Building,IS 1554,138000
CU-1100-PVC-50-4C,1100V 4C 50sqmm Cu PVC Cable,1100,Copper,PVC,50,70,4,Yes,Building,IS 1554,175000
CU-1100-PVC-70-4C,1100V 4C 70sqmm Cu PVC Cable,1100,Copper,PVC,70,70,4,Yes,Building,IS 1554,245000
CU-1100-PVC-95-4C,1100V 4C 95sqmm Cu PVC Cable,1100,Copper,PVC,95,70,4,Yes,Building,IS 1554,335000
AL-1100-XLPE-50-3C,1100V 3C 50sqmm Al XLPE Cable,1100,Aluminium,XLPE,50,90,3,Yes,Industrial,IS 7098,125000
AL-1100-XLPE-70-3C,1100V 3C 70sqmm Al XLPE Cable,1100,Aluminium,XLPE,70,90,3,Yes,Industrial,IS 7098,175000
AL-1100-XLPE-95-3C,1100V 3C 95sqmm Al XLPE Cable,1100,Aluminium,XLPE,95,90,3,Yes,Industrial,IS 7098,245000
AL-1100-XLPE-120-3C,1100V 3C 120sqmm Al XLPE Cable,1100,Aluminium,XLPE,120,90,3,Yes,Industrial,IS 7098,325000
AL-1100-XLPE-150-3C,1100V 3C 150sqmm Al XLPE Cable,1100,Aluminium,XLPE,150,90,3,Yes,Industrial,IS 7098,415000
AL-1100-XLPE-185-3C,1100V 3C 185sqmm Al XLPE Cable,1100,Aluminium,XLPE,185,90,3,Yes,Industrial,IS 7098,505000
AL-1100-XLPE-240-3C,1100V 3C 240sqmm Al XLPE Cable,1100,Aluminium,XLPE,240,90,3,Yes,Industrial,IS 7098,680000
AL-1100-XLPE-300-3C,1100V 3C 300sqmm Al XLPE Cable,1100,Aluminium,XLPE,300,90,3,Yes,Industrial,IS 7098,840000
AL-1100-XLPE-400-3C,1100V 3C 400sqmm Al XLPE Cable,1100,Aluminium,XLPE,400,90,3,Yes,Industrial,IS 7098,1050000
CU-11000-XLPE-25-3C,11kV 3C 25sqmm Cu XLPE HT Cable,11000,Copper,XLPE,25,90,3,Yes,Power Distribution,IS 7098,285000
CU-11000-XLPE-35-3C,11kV 3C 35sqmm Cu XLPE HT Cable,11000,Copper,XLPE,35,90,3,Yes,Power Distribution,IS 7098,365000
CU-11000-XLPE-50-3C,11kV 3C 50sqmm Cu XLPE HT Cable,11000,Copper,XLPE,50,90,3,Yes,Power Distribution,IS 7098,420000
CU-11000-XLPE-70-3C,11kV 3C 70sqmm Cu XLPE HT Cable,11000,Copper,XLPE,70,90,3,Yes,Power Distribution,IS 7098,580000
CU-11000-XLPE-95-3C,11kV 3C 95sqmm Cu XLPE HT Cable,11000,Copper,XLPE,95,90,3,Yes,Power Distribution,IS 7098,750000
