SKU_ID,Product_Name,Type,Conductor_Material,Conductor_Area_mm2,Voltage_Rating_kV,Insulation,Armoured,No_of_Cores,Temperature_Range,Standard,Unit_Weight_kg_per_km,Unit_Price_per_km,Lead_Time_Days,Description
CBL001,3C x 95 sqmm HT XLPE Cable,HT Cable,Aluminium,95,11,XLPE,Yes,3,-10 to 90,IS 7098,1400,750000,20,"3 core 95 sq mm aluminium HT cable with XLPE insulation armoured 11kV rated IS 7098 compliant"
CBL003,1C x 300 sqmm HT XLPE Cable,HT Cable,Aluminium,300,33,XLPE,Yes,1,-10 to 90,IS 7098,1800,1400000,25,"Single core 300 sq mm aluminium HT power cable XLPE insulation armoured 33kV IS 7098"
CBL007,3C x 50 sqmm HT XLPE Cable,HT Cable,Copper,50,11,XLPE,Yes,3,-10 to 90,IS 7098,890,520000,18,"3 core 50 sq mm copper HT cable XLPE insulation steel wire armoured 11kV IS 7098"
CBL011,3C x 120 sqmm HT XLPE Cable,HT Cable,Aluminium,120,11,XLPE,Yes,3,-10 to 90,IS 7098,1650,890000,22,"3 core 120 sq mm aluminium HT cable XLPE insulated armoured 11kV IS 7098 compliant"
CBL013,3C x 185 sqmm HT XLPE Cable,HT Cable,Aluminium,185,22,XLPE,Yes,3,-10 to 90,IS 7098,2100,1250000,28,"3 core 185 sq mm aluminium HT cable XLPE insulation armoured 22kV IS 7098 standard"
CBL016,3C x 70 sqmm HT XLPE Cable,HT Cable,Copper,70,11,XLPE,Yes,3,-10 to 90,IS 7098,1150,680000,20,"3 core 70 sq mm copper HT cable XLPE insulation armoured 11kV IS 7098 compliant"
CBL018,3C x 240 sqmm HT XLPE Cable,HT Cable,Aluminium,240,33,XLPE,Yes,3,-10 to 90,IS 7098,2450,1650000,30,"3 core 240 sq mm aluminium HT cable XLPE insulated armoured 33kV IS 7098 power distribution"
CBL021,3C x 400 sqmm HT XLPE Cable,HT Cable,Aluminium,400,33,XLPE,Yes,3,-10 to 90,IS 7098,3100,2200000,35,"3 core 400 sq mm aluminium HT cable XLPE insulation armoured 33kV heavy duty IS 7098"
CBL023,1C x 185 sqmm HT XLPE Cable,HT Cable,Aluminium,185,22,XLPE,Yes,1,-10 to 90,IS 7098,1100,620000,20,"Single core 185 sq mm aluminium HT cable XLPE insulated 22kV armoured IS 7098"
CBL027,3C x 150 sqmm HT XLPE Cable,HT Cable,Copper,150,11,XLPE,Yes,3,-10 to 90,IS 7098,1980,1150000,24,"3 core 150 sq mm copper HT cable XLPE insulation armoured 11kV IS 7098 premium"
CBL028,1C x 95 sqmm HT XLPE Cable,HT Cable,Aluminium,95,11,XLPE,Yes,1,-10 to 90,IS 7098,720,285000,15,"Single core 95 sq mm aluminium HT cable XLPE insulated 11kV armoured IS 7098 standard"
CBL032,1C x 240 sqmm HT XLPE Cable,HT Cable,Aluminium,240,22,XLPE,Yes,1,-10 to 90,IS 7098,1350,750000,22,"Single core 240 sq mm aluminium HT cable XLPE insulated 22kV armoured IS 7098"
CBL038,1C x 120 sqmm HT XLPE Cable,HT Cable,Aluminium,120,11,XLPE,Yes,1,-10 to 90,IS 7098,780,365000,16,"Single core 120 sq mm aluminium HT cable XLPE insulated 11kV armoured IS 7098"
CBL040,3C x 500 sqmm HT XLPE Cable,HT Cable,Aluminium,500,33,XLPE,Yes,3,-10 to 90,IS 7098,4200,3200000,40,"3 core 500 sq mm aluminium HT cable XLPE insulated armoured 33kV IS 7098 heavy duty"
CBL043,1C x 400 sqmm HT XLPE Cable,HT Cable,Aluminium,400,33,XLPE,Yes,1,-10 to 90,IS 7098,1950,1150000,28,"Single core 400 sq mm aluminium HT cable XLPE insulated 33kV armoured IS 7098"
CBL046,3C x 300 sqmm HT XLPE Cable,HT Cable,Aluminium,300,22,XLPE,Yes,3,-10 to 90,IS 7098,2650,1800000,32,"3 core 300 sq mm aluminium HT cable XLPE insulated armoured 22kV IS 7098 distribution"
CBL050,1C x 70 sqmm HT XLPE Cable,HT Cable,Copper,70,11,XLPE,Yes,1,-10 to 90,IS 7098,620,295000,14,"Single core 70 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098 premium"
CBL052,3C x 630 sqmm HT XLPE Cable,HT Cable,Aluminium,630,33,XLPE,Yes,3,-10 to 90,IS 7098,5100,4200000,45,"3 core 630 sq mm aluminium HT cable XLPE insulated armoured 33kV IS 7098 extra heavy"
CBL056,1C x 150 sqmm HT XLPE Cable,HT Cable,Aluminium,150,22,XLPE,Yes,1,-10 to 90,IS 7098,920,485000,18,"Single core 150 sq mm aluminium HT cable XLPE insulated 22kV armoured IS 7098"
CBL062,1C x 50 sqmm HT XLPE Cable,HT Cable,Copper,50,11,XLPE,Yes,1,-10 to 90,IS 7098,480,225000,12,"Single core 50 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL065,1C x 35 sqmm HT XLPE Cable,HT Cable,Copper,35,11,XLPE,Yes,1,-10 to 90,IS 7098,385,175000,10,"Single core 35 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL068,1C x 25 sqmm HT XLPE Cable,HT Cable,Copper,25,11,XLPE,Yes,1,-10 to 90,IS 7098,320,135000,8,"Single core 25 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL072,1C x 16 sqmm HT XLPE Cable,HT Cable,Copper,16,11,XLPE,Yes,1,-10 to 90,IS 7098,265,95000,7,"Single core 16 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL077,1C x 10 sqmm HT XLPE Cable,HT Cable,Copper,10,11,XLPE,Yes,1,-10 to 90,IS 7098,195,72000,6,"Single core 10 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098 distribution"
CBL082,3C x 16 sqmm HT XLPE Cable,HT Cable,Copper,16,11,XLPE,Yes,3,-10 to 90,IS 7098,485,285000,14,"3 core 16 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL085,3C x 25 sqmm HT XLPE Cable,HT Cable,Copper,25,11,XLPE,Yes,3,-10 to 90,IS 7098,580,345000,15,"3 core 25 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL088,3C x 35 sqmm HT XLPE Cable,HT Cable,Copper,35,11,XLPE,Yes,3,-10 to 90,IS 7098,680,420000,16,"3 core 35 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL091,3C x 10 sqmm HT XLPE Cable,HT Cable,Copper,10,11,XLPE,Yes,3,-10 to 90,IS 7098,385,225000,12,"3 core 10 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL095,3C x 6 sqmm HT XLPE Cable,HT Cable,Copper,6,6.6,XLPE,Yes,3,-10 to 90,IS 7098,285,165000,10,"3 core 6 sq mm copper HT cable XLPE insulated armoured 6.6kV IS 7098"
CBL099,3C x 4 sqmm HT XLPE Cable,HT Cable,Copper,4,6.6,XLPE,Yes,3,-10 to 90,IS 7098,225,135000,8,"3 core 4 sq mm copper HT cable XLPE insulated armoured 6.6kV IS 7098"



